PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,2,"Lhpearh, Mrs. Pikfr",female,,0,0,545295,11.95289148575999,,S
2,1,3,"Mccabkn, Mrs. Owmji",female,37.80244106051248,0,0,745171,5.734513482268544,D,S
3,0,3,"Ggajoht, Mr. Agokf",male,,1,0,243622,7.600357625619855,D,S
4,1,3,"Psftrsm, Miss. Odfjs",female,22.371618227770266,0,1,357391,3.9231068982434003,,C
5,1,1,"Dspnrrc, Mr. Lblld",male,,0,0,PC 98196,127.20941625088716,,S
6,0,1,"Pptpnwn, Mr. Miihr",male,39.66625768475565,0,0,PC 70385,75.02680332216532,E,C
7,1,1,"Ibcjwbj, Miss. Lfwmp",female,16.64553273673162,0,2,PC 74736,12.56383324495688,,S
8,0,3,"Ihjdwha, Mr. Afgos",male,31.856900652625363,0,0,916700,,,S
9,0,3,"Arpewjf, Mr. Lomps",male,34.41737900817027,0,1,605871,6.979768650077807,,S
10,0,3,"Fmilshs, Mr. Jrbtw",male,32.45826218339068,0,6,759650,7.274145846314753,E,S
11,0,1,"Htcimiw, Mr. Bhjis",male,48.90571596861602,0,1,PC 65034,88.13572738668431,,S
12,0,3,"Rotcnjr, Mr. Mhomm",male,38.124371688297295,2,1,916570,18.981820302384076,,C
13,0,3,"Oilkrfh, Mr. Slrki",male,,1,0,350927,3.007514418147753,,S
14,0,1,"Ihcsncr, Mr. Odski",male,38.210269172320054,0,0,PC 23432,65.10007279459533,,S
15,0,1,"Glpiwek, Miss. Sotfo",female,45.53286408254532,0,0,PC 77058,157.67799107554055,,S
16,1,1,"Jnhnnwc, Miss. Pdegf",female,37.41646876654149,0,0,PC 68175,47.122621691752784,,C
17,0,2,"Fmatoaj, Mr. Iibph",male,36.00166183124772,0,0,133329,14.944976455357914,F,S
18,0,3,"Lmefbgn, Mr. Lkrdg",male,40.49962272112536,0,1,505544,12.616406648011328,,S
19,1,2,"Foheccm, Mr. Njdcn",male,1.0,0,0,527463,14.42698018302671,E,S
20,0,2,"Nsjifae, Mr. Alhti",male,35.3399084644865,0,2,368821,23.02736811065792,,Q
21,0,3,"Rjlbcno, Mr. Mdabd",male,28.56500141789002,0,1,150357,4.235213452691698,,S
22,0,1,"Abpbtjt, Mr. Btpkl",male,59.66598133040497,0,1,PC 65812,244.81829312866003,,S
23,0,2,"Mgsfifs, Mr. Mpshs",male,55.443268937315295,0,1,665904,36.40283073792546,,S
24,0,2,"Tdjscce, Mr. Cegjj",male,29.651186031782224,1,1,554500,17.29841949599838,,C
25,0,3,"Mdetend, Mr. Mkmtf",male,23.601875459836215,0,1,542957,7.3808761197646495,,S
26,0,3,"Isrotgs, Mr. Tjapd",male,44.97762195088543,0,0,546694,4.442618602397299,E,C
27,1,1,"Hgoksni, Mrs. Lcaea",female,,0,0,PC 64056,83.9817486287611,,S
28,0,3,"Chspwwp, Miss. Dlama",female,,2,1,584699,4.473607894048014,,S
29,0,3,"Iriiegk, Mr. Jgjtw",male,25.71721404847939,2,1,407678,8.94695589317117,,S
30,0,1,"Tkffgpm, Miss. Nbjpp",female,19.079759291512403,1,0,PC 89056,60.326826408339805,A,C
31,0,3,"Blfjkpp, Dr. Icfrc",male,12.834328808321644,0,0,688450,7.626116490333727,,S
32,1,1,"Scafttk, Mrs. Itbap",female,,0,0,PC 54711,47.529800539590624,,C
33,1,1,"Dhwrbwp, Mrs. Ewion",female,6.171052372385745,1,0,PC 32805,31.426945848505003,,S
34,1,3,"Igowrco, Dr. Kjtnk",male,23.241297571699853,0,2,982412,13.874252976788675,,C
35,0,3,"Jsoemsb, Mr. Djbnh",male,34.03218778343269,0,2,906575,10.43713624217683,,S
36,0,3,"Oniwcor, Mr. Njdoh",male,,2,0,208380,6.518322576208636,G,S
37,0,2,"Nicddkt, Mr. Dkhct",male,36.33638104976296,0,0,817833,12.554779684205316,F,S
38,0,1,"Fgnklne, Mr. Rjrpw",male,26.841960749849456,0,0,PC 26017,87.80114952800949,,S
39,0,3,"Dpgnpsp, Mr. Woaic",male,30.68720919053621,0,0,556418,7.107006225247081,,S
40,0,2,"Pcrhbwc, Mr. Jgoig",male,1.5911409846462234,0,0,584075,14.726387292003603,,S
41,1,1,"Rjifkbl, Mrs. Btrew",female,28.26938875790365,0,0,PC 51423,409.435772168522,B,S
42,1,3,"Pdlrasp, Ms. Plsmo",female,32.90071014306988,0,0,141713,17.14272558148557,,S
